name,address1,address2,address3,city,pincode,tel1,tel2,mobile
7-Days Medical & General Store,"Abba Apartment, Shop #2,","S.V. Road, Opposite Grace Plaza, ",Jogeshwari West,Mumbai,400102,26769551,,
A to Z Chemist & General Stores,"Film City Road, Gokuldham Market,","Near Police Chowk,",Goregaon East,Mumbai,400063,28424388,28495916,9819229680
A to Z Medicals,"Ambedkar Chowk,","Saharkar Wadi, Behind Italian Company,",Goregaon East,Mumbai,400063,28781748,,
A to Z Pharmacy,"Gokhale Road,","Near Indian Overseas Bank,",Thane H.O.,Mumbai,400601,25383672,,
A-One Medical & General Stores,"#28/A/2,","Gajanan Colony, Govandi,",Shivaji Nagar,Mumbai,400043,25551668,,
Aanand Jeevan Jyoti,"#15-17B,","Opposite Shiwar Garden,",Mira Road,Mumbai,401107,28132389,,
Aangan Medical,"Gokuldham Shopping Centre,","A K Vaidya Road,",Goregaon East,Mumbai,400063,28421110,,
Aarogya Medical,"Ugam Complex,","Shop #1, Sector - 40,",Nerul,Mumbai,400706,32986935,,
Aashimo Medical and General Stores,"New #7, Laxmi Baug Building,","S.K. Bole Road, Near Siddhi Vinayak Temple,",Bhavani Shankar Road,Mumbai,400028,24226379,24369432,
Abhar Medical and General Stores,"New #2, Ajay Apartment,","Saraswati Road, Near Podar High School,",Santa Cruz West,Mumbai,400054,26493573,,
Abhasi Chemist,"Huseini Manzil,",Mandvi,,Mumbai,400003,23471049,,
Abhiman Chemist,"#1, L.B. Shastri Road,","Opposite Damani Estate,",Naupada,Mumbai,400602,25403125,,
Abshay Medical,"Jaikar Smruti,","Aarey Road,",Goregaon West,Mumbai,400062,28781305,,
Acme Medical & General Stores,"Acme Amay,","Vishveshwar Nagar Road,",Goregaon East,Mumbai,400063,28777516,,
Adarsh Ayurvedic Pharmacy,"Shop #60, Building No.15-A,","Bina Nagar,",Mulund West,Mumbai,400080,65909032,,9322072619
Adarsh Medical & General Stores,"Rustomjee Adarsh Road,",Malad West,,Mumbai,400064,28614878,,
Adarsh Medicals,"Vijay Niwas, Shivaji Nagar,","Near Ashirwad Hospital,",Wagle,Mumbai,400604,25820327,,
Aditi Chemist,"#185-R, Allhad,","P.K. Road, Opposite Sports Complex,",Mulund West,Mumbai,400080,25939456,,
Aditya Medical & General Stores,"Vishal Tower, Shop #5,","Kolbad Road,",Naupada,Mumbai,400602,25479826,,9820744725
Aditya Medical and General Store,"Kannamwar Nagar No. 1,","Kannamwar Nagar No. 1,",Tagore Nagar,Mumbai,400083,25784870,,
Advance Enterprise,"#39, Jay Mahal Estate, Shop #22,","Kitchen Garden Lane, Princess Street,",Kalbadevi,Mumbai,400002,22065832,,
Agar Bazar Medical Stores,"#26/A, Gala Mansion, Shop #2,","S.K. Bole Road, Agar Bazar, Dadar, ",Bhavani Shankar Road,Mumbai,400028,24228472,24316726,9819442617
Ahura Homoeopathic Pharmacy,"Hirabai Petit Building, Ground Floor,","Opp. (Ticket Window) Grant Road Railway Station(E),",Grant Road,Mumbai,400007,23073052,23080561,
Ahura Medicals,"#167,","Patthe Bapurao Marg,",Mumbai Central,Mumbai,400008,23003848,23082242,
Air Line Medical Stores,"Air View Building, Shop #21,","Near New Vakola Market,",Santa Cruz East,Mumbai,400055,26672966,,9920153745
Ajanta Medical and General Store,"Heera House,","Chitrakar Dhurand Marg, Near Pali Hill Tourist Hotel,",Khar,Mumbai,400052,26481575,,
Ajay Medical & General Stores,"Patil's Paradise,","S.N. Road,",Mulund West,Mumbai,400080,25939038,,
Ajit Chemist,"Malad Road,",Kandivali West,,Mumbai,400067,28817263,,
Ajit Medical & General Stores,"Shop #E-10,","S.G. Barve Road, Kurla,",Nehru Nagar,Mumbai,400024,25225512,,9892322863
Ajit Medical and Provision Store,"New #61, Srikanth Lodge,","1st Lane, Near Krishna Tower,",Dadar East,Mumbai,400014,24144133,,
Akbarallys,"Mumbai G.P.O.,","Near Old Handloom House,",,Mumbai,400001,40022552,,9820698521
Akhil Marketing,"Katariya Marg,",Mahim,,Mumbai,400016,24462215,24468664,
Akhil Medicals & General Stores,"Big Splash, Shop #12,","Sector-17, Vashi,",Vashi,Mumbai,400703,27891221,27896924,
Akshay Medical & General Stores,"C.S. No.1047, Ventak Nagar,","Near T.M.C. Hospital,",J.K. Gram,Mumbai,400606,69566916,,9869980889
Akshay Medical & General Stores,"#2, Kukreja Complex,","L.B. Shastri Marg, Near Miniland,",Bhandup West,Mumbai,400078,25949637,25642219,
Akvip Pharma,"Kailash Complex,","L.B. Shastri Marg,  ",Vikhroli,Mumbai,400079,25185948,25185949,
Al Karim Medical General Stores,"Shop #112, Behram Nagar,","Near Dr. Kamal Dispensary,",Bandra East,Mumbai,400051,32469725,32628581,9323286373
Al Shifa Medical And General Store,"Prathamesh Kutir,","Samant Marg,",Jogeshwari West,Mumbai,400102,26787343,,
Al-Siraj,"#202/228, Dinanath Building,","Shop #7, Opposite Gulshan Cinema,",Khetwadi,Mumbai,400004,23800060,,
Alankar Private Limited,"#3-B, Stadium House,",Church Gate,,Mumbai,400020,22816622,22816633,
Alka Chemist,"Chaitanya Co-operative Housing Society,","Shop #3, Aarey Road, Aarey Road,",Goregaon East,Mumbai,400063,26863563,,
Alka Chemist & General Stores,"Suyash Shopping Centre,","Aareymilkcol Road,",Aarey Milk Colony,Mumbai,400065,28496397,,
All India Chemists,"Chandrabai Nagar,","Juhu Tara Road, Santacruz,",Juhu,Mumbai,400049,26602115,26602105,
All India Drug House,"All India Drug House,","Station Road,",Kandivali West,Mumbai,400067,28052408,,
All India Drug Supply Company,"#11,","Dariyasthan Street, Vadgadi,",Mandvi,Mumbai,400003,23422313,23444809,9820642413
All India Drug Supply Company,"Earth House, Earth House","1st Floor, Princess Street,",Kalbadevi,Mumbai,400002,56372901,56332901,9820642413
All India Organisation Of Chemist,"Safalya Building,","B Parulekar Marg,",Bhavani Shankar Road,Mumbai,400028,24306874,,
Anand Medical & Genaral Stores,"Shopping Centre, Shop #B-20,","Deonar Municipal Colony, Govandi,",Shivaji Nagar,Mumbai,400043,25579091,25482226,9821631920
